landmark_0_x,landmark_0_y,landmark_0_z,landmark_1_x,landmark_1_y,landmark_1_z,landmark_2_x,landmark_2_y,landmark_2_z,landmark_3_x,landmark_3_y,landmark_3_z,landmark_4_x,landmark_4_y,landmark_4_z,landmark_5_x,landmark_5_y,landmark_5_z,landmark_6_x,landmark_6_y,landmark_6_z,landmark_7_x,landmark_7_y,landmark_7_z,landmark_8_x,landmark_8_y,landmark_8_z,landmark_9_x,landmark_9_y,landmark_9_z,landmark_10_x,landmark_10_y,landmark_10_z,landmark_11_x,landmark_11_y,landmark_11_z,landmark_12_x,landmark_12_y,landmark_12_z,landmark_13_x,landmark_13_y,landmark_13_z,landmark_14_x,landmark_14_y,landmark_14_z,landmark_15_x,landmark_15_y,landmark_15_z,landmark_16_x,landmark_16_y,landmark_16_z,landmark_17_x,landmark_17_y,landmark_17_z,landmark_18_x,landmark_18_y,landmark_18_z,landmark_19_x,landmark_19_y,landmark_19_z,landmark_20_x,landmark_20_y,landmark_20_z,landmark_21_x,landmark_21_y,landmark_21_z,landmark_22_x,landmark_22_y,landmark_22_z,landmark_23_x,landmark_23_y,landmark_23_z,landmark_24_x,landmark_24_y,landmark_24_z,landmark_25_x,landmark_25_y,landmark_25_z,landmark_26_x,landmark_26_y,landmark_26_z,landmark_27_x,landmark_27_y,landmark_27_z,landmark_28_x,landmark_28_y,landmark_28_z,landmark_29_x,landmark_29_y,landmark_29_z,landmark_30_x,landmark_30_y,landmark_30_z,landmark_31_x,landmark_31_y,landmark_31_z,landmark_32_x,landmark_32_y,landmark_32_z
-0.41126113651648194,-0.34491662122795685,-0.3610695337382036,-0.4303811093412178,-0.3673261960709448,-0.35445776489939906,-0.4243340594132949,-0.36981994432179005,-0.35527630275541855,-0.4188940099980493,-0.3722803435486799,-0.3547517549489915,-0.433434045141745,-0.3681924453866356,-0.37014143428908985,-0.4301461837514502,-0.3717623144657068,-0.3716077143009468,-0.4264180007863019,-0.37558456010174196,-0.37243212678782855,-0.3580484514889549,-0.3944634545348034,-0.5085682953022221,-0.3673607404899291,-0.395190839378041,-0.21170284173406048,-0.3564937419459354,-0.3379783780669027,-0.2846331279319173,-0.3587394742873613,-0.33934770392715247,-0.2739643742779002,-0.12356232755422777,-0.3227915525154224,-0.732252629386189,-0.20994898449580052,-0.3402394745114197,0.11660936989946119,0.028719976132592702,-0.12198270141161541,-0.5434062466498408,0.0052362486122189515,-0.1799608808791855,0.17642006634193408,-0.24086391136452515,-0.09492565281134574,-0.35520166013020743,-0.12621360414933067,-0.10599989932457782,0.1851208314560877,-0.32332400528027344,-0.0827455278758167,-0.3826478219182379,-0.2005206547369011,-0.05595330686792387,0.1698960468092986,-0.33848399943054275,-0.1163068636957355,-0.35864503043315493,-0.2925105314963968,-0.061371966509490894,0.11678219994317673,-0.307728127576538,-0.11479154339159937,-0.3322876657525461,-0.29724151695077133,-0.08517126614408214,0.15836587744288044,0.03334081874448661,0.007896643528379202,-0.29989348769446084,-0.03334081874448661,-0.007896643528379202,0.29989348769446084,-0.056937030665178,0.21398291059671032,0.2712179878742113,-0.12216005422392193,0.16455243803255673,0.6765196661185792,-0.11774478483510775,0.3951439210755899,0.6755617281838032,-0.14384006798973983,0.2952354323102279,1.0460725312377934,-0.09048597145339686,0.42628129923058466,0.7092434579595018,-0.10424269965951409,0.3334428706780232,1.1001289823945681,-0.35301758932536464,0.4313516696633759,0.629634848129427,-0.33083248608413646,0.3255176622468662,1.0239959527235514
-0.4001286634309049,-0.345462340934565,-0.26340369450730816,-0.4195714145383054,-0.36754468367948506,-0.3396181889011723,-0.41393777728159004,-0.3700235795144956,-0.3404694791112798,-0.40891360861249876,-0.3724249611364787,-0.339958338484513,-0.4217118387400385,-0.36853715243191293,-0.27253687413794087,-0.4179806960988879,-0.37206711831090644,-0.2740162512725453,-0.4139936024539184,-0.3758357427949881,-0.2747429183310134,-0.34784476753497184,-0.39428424702590925,-0.5322084315706638,-0.35325000846188903,-0.3956256088927737,-0.15809848976705776,-0.34554834528738965,-0.3382838339966675,-0.27985977746518215,-0.34690571796867725,-0.33958821833725933,-0.19200637628989714,-0.11597600941519748,-0.3222781062888738,-0.7349160472539099,-0.18365456513787792,-0.34010678056456956,0.14203592981593036,0.027869765956259687,-0.12139081314102652,-0.609477926715804,0.012708708247909345,-0.17696019074128091,0.3058443197926934,-0.23800690032217342,-0.0914398831464917,-0.3457986986450635,-0.15967343314338023,-0.10904760203698545,0.24294966985488253,-0.3184742716843411,-0.07852977042641839,-0.35773886915611136,-0.22205622884238072,-0.0714940245509003,0.23306909822421484,-0.33305905450668727,-0.11180800254105723,-0.3525840311153654,-0.29072954276899693,-0.07683529256364525,0.17046937765963974,-0.30187217299650915,-0.11072934281226224,-0.3229485906477096,-0.2879200885424891,-0.09340519071914377,0.20968579795828712,0.030123115337148437,0.007912302931237153,-0.3011700641674369,-0.030123115337148437,-0.007912302931237153,0.3011700641674369,-0.058008857482006196,0.21456995291658063,0.2804766636432304,-0.12062319307069187,0.16476258453052975,0.6872385714166439,-0.11541505255477169,0.3973760065162552,0.7262008451432647,-0.14069475921585425,0.2980778095547485,1.09710158332798,-0.08674147773993383,0.42922940582647245,0.7621574999140127,-0.1018806615911205,0.3357054627824546,1.147049774567905,-0.34956586087829755,0.4325658511099474,0.6253651671046735,-0.32649195576973117,0.32724964540134843,1.08833895065209
-0.38915679779777046,-0.3460007042677579,-0.20213250600902788,-0.40882390565215354,-0.36779809139640235,-0.3325099115941502,-0.4035447814054899,-0.37026595210095925,-0.33338808743661946,-0.3988748625090144,-0.3726168728483159,-0.3328867767217051,-0.4101781479667997,-0.368885760904309,-0.2103959117646874,-0.4060636137828213,-0.37236824422887743,-0.2118828355898988,-0.40186265953674555,-0.3760768055765873,-0.2125467342771925,-0.3375928309586247,-0.3941428224721092,-0.5550125513878057,-0.33963202913089935,-0.39600484382852286,-0.12415692694018408,-0.3347688004682318,-0.33858683842980336,-0.280340123909439,-0.33536979597340677,-0.3398143102579078,-0.1404849938603299,-0.10832278243664675,-0.32178430285250814,-0.7371471322426081,-0.15920665769177694,-0.3399394693327861,0.1585696365283465,0.026683380950483317,-0.12092535672002205,-0.6652516942405334,0.010479865194862456,-0.17429500166414658,0.39183061775813277,-0.2355566436487895,-0.08848183700646246,-0.3552130956879168,-0.18702087015940874,-0.1108148326603886,0.32729058750297,-0.31412958898677623,-0.074974364348539,-0.3608192213381348,-0.23952801329248552,-0.08383331078192947,0.32304192817570176,-0.32801675191907176,-0.1079747928478662,-0.3655089275261063,-0.2884954441789138,-0.08905618248930912,0.25621478976871115,-0.2964581784002211,-0.10728695246763616,-0.33248960147136214,-0.2792279958193408,-0.0994473762925396,0.2915317305363638,0.027173676214416,0.00792003822744733,-0.3022787766013902,-0.027173676214416,-0.00792003822744733,0.3022787766013902,-0.05892206079369527,0.21512879410358282,0.28814495180227534,-0.11904588373278682,0.1650188871333373,0.6962458013137445,-0.11306742350786651,0.39951836222614123,0.756083970607685,-0.13754497166741694,0.3007914709565795,1.1427119232268355,-0.08307159891536625,0.43206158978890274,0.7934273003879732,-0.09948210933511685,0.3378688530489149,1.1899587651408043,-0.34611524319774795,0.4337442485133981,0.616278369885689,-0.3222246240109435,0.3289165919746346,1.1457978342654977
-0.378351734363931,-0.3465319948384885,-0.17193344884525769,-0.3981485321707104,-0.36808527181717826,-0.3321725448891446,-0.39316709834115054,-0.37054575369796333,-0.33307208652518805,-0.3887919836290924,-0.3728544570011091,-0.3325773473268962,-0.3988384044241966,-0.3692383490170314,-0.1786253838285936,-0.3943982096823431,-0.37266614490777444,-0.18011550014777394,-0.39002669436523496,-0.37630854226161004,-0.18074648194055296,-0.32730648928782535,-0.3940382692329527,-0.5768302738536054,-0.3265014561579691,-0.39633101200194004,-0.10715191949080051,-0.32416085342931583,-0.338887643940037,-0.2853619197099955,-0.32413267445616856,-0.3400268365090368,-0.11499447050917815,-0.10061408100197247,-0.3213100614582248,-0.7389646816268324,-0.13654881650616077,-0.3397394443698896,0.16737961024389314,0.02517714378125835,-0.12058156035958403,-0.711408403845851,0.0005814368026340949,-0.17195400956867948,0.44060158000412614,-0.2334976436867942,-0.08603192195890402,-0.3793714539664535,-0.20870414099717455,-0.11143945132896442,0.41406152723958767,-0.3102722831077841,-0.07205462957539284,-0.38594826494842827,-0.25323096222436897,-0.09323141266242788,0.41452063785115967,-0.32334564020799283,-0.10478257541655012,-0.39322613979218796,-0.2858587153636689,-0.09829998903156788,0.34705138288646636,-0.29147264849734295,-0.10444129477798589,-0.35682507678137165,-0.2711496380888631,-0.10349842577520678,0.3784045568026934,0.02448458784287049,0.007920284401524744,-0.3032251856029367,-0.02448458784287049,-0.007920284401524744,0.3032251856029367,-0.05968169841552099,0.2156600783317708,0.2942971680702871,-0.11743184143574556,0.16531898119801963,0.7036273901458943,-0.1107044436574581,0.401572163585809,0.7686703218335217,-0.1343935984890011,0.30337857242326266,1.1829962822386435,-0.07947636705229509,0.4347793358633614,0.806624649598564,-0.09705028744701655,0.33993450705514316,1.2287808844932726,-0.34266844140015873,0.43488683936710054,0.6033140243855877,-0.3180311574068376,0.3305193113941257,1.1959262914398072
-0.36771966787623894,-0.34705649625771,-0.16748400361789278,-0.38755524358192395,-0.36840507753729396,-0.3376457006969675,-0.38281675464472825,-0.37086167592229036,-0.3385614351707363,-0.3786791839142292,-0.373136091911776,-0.33807032796641484,-0.3876980397143978,-0.36959499498328746,-0.17213212698892422,-0.38298775667654594,-0.3729612730357525,-0.1736222778409376,-0.3784872292698383,-0.3765317466651273,-0.17424506863528194,-0.31699959005048606,-0.39396967566798946,-0.5975112180680212,-0.31385294320410745,-0.39660658122967696,-0.10435723365626808,-0.31373025011149575,-0.33918650310109516,-0.2942129173121594,-0.3131953195715817,-0.34022665391058515,-0.1111290497564216,-0.09286133949457161,-0.32085530135792356,-0.7403874926811312,-0.1156245959296924,-0.33950860922970055,0.16963497116975382,0.023367377114579535,-0.12035465227069447,-0.7486289101535785,-0.014954859579219921,-0.1699259103757768,0.45837982629654755,-0.23181440277860824,-0.08407054557146247,-0.4142003761883595,-0.2251714714564362,-0.11105931817688997,0.4791804319039725,-0.3068846799675702,-0.06974588604019416,-0.42718538647111187,-0.26346002977518446,-0.09994857729381207,0.4822113284379887,-0.3190342679137476,-0.10220669104749684,-0.4315420880404208,-0.2828698359607839,-0.10483206493550687,0.4160121036289806,-0.2869020879975445,-0.10216929216357616,-0.39186939513560615,-0.26366941465859245,-0.10575894207808252,0.4448051583828593,0.02204793668909311,0.007913476437984396,-0.3040148517786928,-0.02204793668909311,-0.007913476437984396,0.3040148517786928,-0.06029282816275916,0.21616444977519866,0.29900762816620685,-0.11578478140510699,0.16566050208161723,0.7094693722491056,-0.10832865896661249,0.40353858597582026,0.7674191160772325,-0.1312435328251798,0.30584126986233967,1.218047391667689,-0.07595581422332148,0.4373841287953348,0.8053213377629656,-0.09458844048233302,0.3419038903788788,1.2634410630053161,-0.33922816060197286,0.43599360116442726,0.5874116985174843,-0.31391222255647816,0.33205861308722273,1.2382780100510518
-0.3572667930815464,-0.34757449213637515,-0.18346165092882816,-0.37705398937374207,-0.3687563611522308,-0.3479689909284307,-0.3725057768723792,-0.37121241039072234,-0.3488960921670148,-0.36855067530592084,-0.3734601558972341,-0.3484059963065898,-0.37676248543957136,-0.3699557770162848,-0.18582297790494368,-0.3718355276445225,-0.3732540813009661,-0.1873112015641566,-0.3672457865810072,-0.37674721260220917,-0.18794540167556653,-0.3066859807745185,-0.39393613013676865,-0.6169050031310108,-0.30168114393032347,-0.39683401932838513,-0.11304663567394782,-0.30348273645562523,-0.3394836684867046,-0.30618086916123827,-0.30255869747426495,-0.3404146192824917,-0.12448297512204001,-0.08507599229784098,-0.3204199418035036,-0.7414343626800537,-0.09637755031103513,-0.3392488674660389,0.16650483951311199,0.02127040361644162,-0.12023986066433538,-0.7775940677855377,-0.034097306601143774,-0.16819940000633551,0.451387976401271,-0.23049142326665223,-0.08257811541178373,-0.45562646506132093,-0.236871087336952,-0.1098122933383424,0.49856524433536253,-0.3039491054863395,-0.06802345367615725,-0.4785899723903057,-0.2705101700820856,-0.10424505177749856,0.5008201011235894,-0.3150711835766328,-0.10022248054109406,-0.47626319239761533,-0.27957928560778045,-0.1089177629462115,0.4361298986123293,-0.28273300161049497,-0.10044786704467176,-0.43353693509193375,-0.25677172483606553,-0.10642952811210411,0.4652344169024447,0.019855809219665035,0.007900049321341297,-0.30465333573527437,-0.019855809219665035,-0.007900049321341297,0.30465333573527437,-0.06076050785068553,0.21664255260792026,0.30235064780897564,-0.11410841886640993,0.16604108514117033,0.7138577819593915,-0.10594261539839567,0.40541880477673625,0.7557895705952755,-0.12809766782052606,0.308181719181352,1.2479579828182576,-0.07250997250104639,0.43987745333030864,0.7930891550983589,-0.09209981299657961,0.34377846859786104,1.2938642310569413,-0.33579710591963335,0.4370645113987503,0.5695109601944937,-0.3098684860589292,0.33353530648132657,1.2724066779752632
-0.34699930472670587,-0.3480862660854371,-0.21454387137995923,-0.3666547190341128,-0.36913797525747005,-0.36218202749434636,-0.36224619158025934,-0.37159664872004183,-0.3631160163077744,-0.35842066974566356,-0.373825027274401,-0.3626246300137496,-0.36603717320188556,-0.3703207733292307,-0.21460477323591667,-0.36094479546536545,-0.3735450223915701,-0.2160903042121978,-0.3563038886291931,-0.3769557338879267,-0.21675038837559407,-0.29637950898783477,-0.39393672099883975,-0.6348612481425326,-0.28998071199762615,-0.3970157941147161,-0.1304938917812009,-0.2934240584025582,-0.339779392670592,-0.32055352770253986,-0.2922237743188372,-0.3405915894446953,-0.15065049012601323,-0.07726947379517751,-0.3200039020468645,-0.7421240888981486,-0.07875123399885223,-0.33896212263272507,0.15915833548115135,0.018902545952839345,-0.12023241375148877,-0.798984731363551,-0.05481418691358164,-0.16676317438125265,0.42584865008417094,-0.22951320749334694,-0.08153503904751382,-0.4995763232930241,-0.24425121443848027,-0.10783623694749885,0.45605194222967477,-0.3014478855842975,-0.06686265241649637,-0.5342214091901303,-0.27467633728222574,-0.10638108321490385,0.45346371906957694,-0.31144493573694504,-0.09880528469772956,-0.5231958729905823,-0.27603754394218005,-0.11082243580876709,0.3892101047182505,-0.2789518940458639,-0.0992539418415374,-0.47774207520822276,-0.25044096792881915,-0.10571078678820867,0.42244555552778357,0.017900291901167455,0.00788043803611045,-0.30514619807929755,-0.017900291901167455,-0.00788043803611045,0.30514619807929755,-0.06108979529457583,0.2170950310039896,0.3044005427175345,-0.11240646904519319,0.16645836573371928,0.7168786536127655,-0.10354885891587359,0.40721399536911834,0.7372409026441091,-0.12495889661961307,0.3104020762878413,1.272820786994633,-0.06913887395807088,0.44226079421376896,0.7734998918219249,-0.08958764954526972,0.3455597072898291,1.3199753190281547,-0.3323779824695831,0.4380995475634423,0.5505513773297301,-0.30590061451325523,0.33495020100383815,1.2978659830884762
-0.33692339755856976,-0.3485921017158489,-0.25540814557318087,-0.3563673820509843,-0.36954877244849316,-0.3793244223055261,-0.35205002532452506,-0.3720130825270311,-0.3802611663867657,-0.3483033791749538,-0.37422908436019425,-0.3797665067542226,-0.3555275346035088,-0.37069006213533284,-0.25338434964110756,-0.3503188330181674,-0.3738345489957193,-0.2548676186798278,-0.3456630577448478,-0.3771581043373502,-0.25556293604955155,-0.28609402221834684,-0.3939705366137524,-0.651229572202544,-0.2787463010670246,-0.39715437340532156,-0.15397276821538824,-0.2835599618931486,-0.3400739282264842,-0.33661864538137176,-0.28219151625991756,-0.3407584212171349,-0.18522583828832082,-0.06945321836997813,-0.31960710133990583,-0.7424754686099649,-0.0626892013418067,-0.33865027828357935,0.14876457928105535,0.016280126789767473,-0.12032753974313666,-0.8134817555094396,-0.0750737831669777,-0.16560592942142535,0.3879844671111211,-0.22886425780111322,-0.08092172404629878,-0.5419765535911547,-0.2477600785607795,-0.10526900913853637,0.3671486427095475,-0.2993633461816495,-0.06623880219442586,-0.5881390833547052,-0.27625348551275836,-0.10661691870744448,0.35690159333442767,-0.3081440729349816,-0.0979304443177911,-0.5681465499461318,-0.27229509060150453,-0.11081143626825905,0.2921476198911322,-0.27554527001332074,-0.0985644389744378,-0.5203991940423409,-0.24466154324438966,-0.10380332101733344,0.3322011635882147,0.01617347120018157,0.007855077566806866,-0.30549899941737846,-0.01617347120018157,-0.007855077566806866,0.30549899941737846,-0.06128574830970589,0.2175225291374607,0.3052316286108243,-0.11068264716699566,0.16690997921630452,0.7186180215452397,-0.10114993548211224,0.408925333133528,0.7152323294801903,-0.12183011236701392,0.3125044970893493,1.2927285355011002,-0.06584255066699596,0.44453563619120195,0.7501253381508443,-0.08705519468391677,0.3472490720325223,1.3416992572989621,-0.32897349536826526,0.43909868715187567,0.5314725178363083,-0.30200927451852067,0.3363041060821585,1.3142096132667227
-0.32704526632399006,-0.3490922826385634,-0.3007319541103882,-0.34620192791230425,-0.36998760532078123,-0.3984357872727823,-0.3419293046613323,-0.37246040342847214,-0.3993715011977395,-0.33821301553528743,-0.3746707054715314,-0.3988719041943377,-0.34523900124660906,-0.37106372164779844,-0.2970685437797809,-0.33996091318202104,-0.37412311380156826,-0.2985511778618136,-0.33532481625842264,-0.3773551177655503,-0.2992859520116263,-0.2758433679939666,-0.39403666534105586,-0.6658595944110035,-0.2679725647995278,-0.39725222501685287,-0.180757031213871,-0.2738961928682501,-0.34036752772810774,-0.3536639746430417,-0.2724628894521246,-0.340915971419749,-0.2238032631289426,-0.06163866040563969,-0.31922945893452676,-0.7425072990900511,-0.04813500668856172,-0.3383152379724219,0.1364926911200075,0.013419468793220722,-0.12052046685026098,-0.8217659948450261,-0.09284437801177611,-0.1647163610477505,0.34401804724799573,-0.22852907653237153,-0.08071857797578459,-0.5787537586633991,-0.24784590550360816,-0.10224847004563217,0.25528149775429837,-0.29767781319860054,-0.0661272229431599,-0.6344023813681513,-0.27553656891083717,-0.10521280535653697,0.23630379695083223,-0.3051571437110389,-0.09757330020166645,-0.6069216433910746,-0.26840240522327546,-0.10915011706977276,0.1706097323410249,-0.27249963422253487,-0.09835628086363772,-0.5574226701521566,-0.23941785009031374,-0.10090773371041567,0.21851617195382728,0.014667433583288564,0.007824402897945545,-0.30571730035613304,-0.014667433583288564,-0.007824402897945545,0.30571730035613304,-0.061353424711351405,0.21792569118238744,0.3049182212077865,-0.1089406684573561,0.16739356094596616,0.7191619200928273,-0.09874839106017755,0.41055399345052646,0.6932230683599778,-0.11871420820730166,0.3144911374934174,1.3077739596419444,-0.06262103470042267,0.4467034640080931,0.726537284302298,-0.0845056929680341,0.34884802840367973,1.3589609762493713,-0.32558634973212247,0.44006190765742254,0.5132139496273428,-0.29819513267378944,0.3375978311436884,1.3209912563860358
-0.3173711057698194,-0.3495870924645336,-0.3451927775934765,-0.3361683061060209,-0.37045332646981577,-0.4185557343069264,-0.3318960561468373,-0.3729373030411476,-0.41948697953444647,-0.3281637907681609,-0.3751482689253302,-0.41898110000042327,-0.33517700473335477,-0.3714418300798353,-0.34056419231120133,-0.32987430883601904,-0.374411169497272,-0.342049014652922,-0.32529068650036946,-0.37754756798759775,-0.3428223435760053,-0.2656413938426062,-0.3941341955402996,-0.6786009338678687,-0.2576541568561449,-0.39731181676596183,-0.20812044701401017,-0.2644384972687167,-0.3406604437491895,-0.3709772679328573,-0.2630388600500774,-0.34106509687247677,-0.2619770081678584,-0.05383723428555916,-0.318870894082627,-0.742238377612956,-0.03503220438778054,-0.3379589052530731,0.12351179120519137,0.010336894629193865,-0.12080642328384386,-0.8245183039921321,-0.10609425409842113,-0.16408316518112526,0.30017201026066886,-0.2284921660295428,-0.08090600840361728,-0.6058345412174433,-0.24495692106672445,-0.09891247980296332,0.14387665934324526,-0.29637361255535605,-0.06650323459591286,-0.667070689714588,-0.27282054161361535,-0.10242899026359786,0.11684040295148188,-0.302472696605414,-0.09770919314974338,-0.635327573452221,-0.2644099674450144,-0.10610383095839356,0.050263730277979576,-0.26980149138317583,-0.09860638992940188,-0.5847268820955377,-0.23469428777412807,-0.09722462777839253,0.1054055114947106,0.013374265517069626,0.007788849014041499,-0.3058066615021775,-0.013374265517069626,-0.007788849014041499,0.3058066615021775,-0.0612978823147882,0.21830516131282385,0.3035346362273619,-0.1071842481418134,0.1679067462797447,0.7185963835915412,-0.09634677161313558,0.41210115170067535,0.6746723365399288,-0.11561407728504944,0.31636415340758745,1.3180497907214497,-0.05947435813095207,0.44876576240992894,0.7063075204934667,-0.08194238895313516,0.3503580419810408,1.3716854062593873,-0.3222192506775979,0.4409891865734556,0.4967152406159484,-0.29445885557812634,0.33883218561582895,1.3177646003224486
